Country,Name,FIFAManagerID,League,YearOF,City,LeagueLevel,,,,,,,,,,,
Algeria,Olympique Akbou,0x00613077,Ligue Professionnelle 1 Mobilis,,,,,,,,,,,,,,
Algeria,Widad Amel de Mostaganem,0x00613078,Ligue Professionnelle 2 Centre West ,,,,,,,,,,,,,,
Algeria,US Bechar Djedid,0x00613079,Ligue Professionnelle 2 Centre West ,,,,,,,,,,,,,,
Algeria,Olympique Magrane,0x0061307A,Ligue Professionnelle 2 Centre East,,,,,,,,,,,,,,
Australia,Auckland FC,0x00C3326D,Isuzu UTE A-League,,,,,,,,,,,,,,
Bhutan,Daga United FC,0x0098302E,Bank of Bhutan Premier League,,,,,,,,,,,,,,
Bhutan,Phuentsholing Heroes FC,0x0098302F,Bank of Bhutan Premier League,,,,,,,,,,,,,,
France,Olympique Charleville Prix Ardenne Mét. (NEU),0x0012A756,Championnat National 3 Group E,,,,,,,,,,,,,,
France,Racing Club Calais (NEU 2023),0x0012A757,Championnat National 3 Group E,,,,,,,,,,,,,,
Indonesia,Dejan FC,0x00A04096,Liga 2 Barat,,,,,,,,,,,,,,
Indonesia,Adhyaksa FC,0x00A04097,Liga 2 Tengah,,,,,,,,,,,,,,
Kazakhstan,KazAST   (Kazakh Academy of Sport and Turism),0x00A5400D,Qazaqstan Ekinşi Lïgası - Oñtüstik Batıs Aýmaq,,,,,,,,,,,,,,
Kazakhstan,Talas Qaratau,0x00A5400E,Qazaqstan Ekinşi Lïgası - Oñtüstik Batıs Aýmaq,,,,,,,,,,,,,,
Kosovo,KF Besa Peja,0x00CF0094,Liga e Parë Group A,,,,,,,,,,,,,,
Latvia,Ogre United,0x001C3057,Komanda.lv Pirma liga,,,,,,,,,,,,,,
Latvia,Leevon PPK,0x001C3058,Komanda.lv Pirma liga,,,,,,,,,,,,,,
Madagascar,ASA Diana,0x007C306A,Pro League,,,,,,,,,,,,,,
Madagascar,Tsaramandroso Formation FC,0x007C306B,Pro League,,,,,,,,,,,,,,
Madagascar,KFCA Diana,0x007C306C,Pro League,,,,,,,,,,,,,,
Malawi,Creck Sporting,0x007D3037,TNM Super League,,,,,,,,,,,,,,
Malawi,FOMO FC,0x007D3038,TNM Super League,,,,,,,,,,,,,,
Malawi,Baka City FC,0x007D3039,TNM Super League,,,,,,,,,,,,,,
Malaysia,Gombak FC,0x00AD314C,Malaysia A1 Semi-Pro League,,,,,,,,,,,,,,
Malaysia,PT Athletic,0x00AD314D,Malaysia A1 Semi-Pro League,,,,,,,,,,,,,,
Myanmar,Thitsar Arman,0x00B03058,Ooredoo Myanmar National League,,,,,,,,,,,,,,
Myanmar,Dagon Port,0x00B03059,Ooredoo Myanmar National League,,,,,,,,,,,,,,
Paraguay,Encarnación FC,0x003A3057 ,División Intermedia,,,,,,,,,,,,,,
Paraguay,Club 12 de Junio,0x003A3058,División Intermedia,,,,,,,,,,,,,,
Peru,Futbol Club San Marcos,0x003B3155,Liga 2 2024 Zona Norte,,,,,,,,,,,,,,
Peru,Juan Pablo II College,0x003B3156,Liga 2 2024 Zona Norte,,,,,,,,,,,,,,
Peru,UCV Moquegua,0x003B3157,Liga 2 2024 Zona Sur,,,,,,,,,,,,,,
Philippines,Don Bosco Garelli United FC,0x00B53043,Philippines Football League,,,,,,,,,,,,,,
Philippines,Manila Digger FC,0x00B53044,Philippines Football League,,,,,,,,,,,,,,
Philippines,Manila Montet FC,0x00B53045,Philippines Football League,,,,,,,,,,,,,,
Philippines,Taguig City United FC,0x00B53046,Philippines Football League,,,,,,,,,,,,,,
Philippines,Tuloy FC,0x00B53047,Philippines Football League,,,,,,,,,,,,,,
Saudi Arabia,Neom Sports Club,0x00B73086,Prince Mohammad bin Salman League --> Yelo League,,,,,,,,,,,,,,
Zimbabwe,Bikita Minerals,0x0094306A,Castle Lager Premier Soccer League,,,,,,,,,,,,,,
Zimbabwe,Chegutu Pirates,0x0094306B,Castle Lager Premier Soccer League,,,,,,,,,,,,,,
Zimbabwe,Arenel Movers,0x0094306C,Castle Lager Premier Soccer League,,,,,,,,,,,,,,
The Republic of Korea,Namyangju FC,0x00A73101,K4 League,,,,,,,,,,,,,,
South Africa,Kruger United FC,0x008C324C,GladAfrica Championship,,,,,,,,,,,,,,
Uzbekistan,FarDu (Fergana State University),0x00BF4089,Birinchi Liga Sharq,,,,,,,,,,,,,,
Uzbekistan,Namangan FA,0x00BF408A,Birinchi Liga Sharq,,,,,,,,,,,,,,
Uzbekistan,Andijon FA,0x00BF408B,Birinchi Liga Sharq,,,,,,,,,,,,,,
Uzbekistan,Farg'ona FA,0x00BF408D,Birinchi Liga Sharq,,,,,,,,,,,,,,
Uzbekistan,Qiziriq FC,0x00BF408E,Birinchi Liga G'arb,,,,,,,,,,,,,,
Uzbekistan,Sirdaryo FA,0x00BF408F,Birinchi Liga G'arb,,,,,,,,,,,,,,
Uzbekistan,Xorazm FA,0x00BF4090,Birinchi Liga G'arb,,,,,,,,,,,,,,
Uzbekistan,BuxDU (Bukhara State University),0x00BF4091,Birinchi Liga G'arb,,,,,,,,,,,,,,
Uzbekistan,Buxoro FA,0x00BF4092,Birinchi Liga G'arb,,,,,,,,,,,,,,
Uzbekistan,Jizzax FA,0x00BF4093,Birinchi Liga G'arb,,,,,,,,,,,,,,
Uzbekistan,Navoiy FA,0x00BF4094,Birinchi Liga G'arb,,,,,,,,,,,,,,
Vietnam,LPBank Ho Chi Minh City FC,0x00C03088,V.League 2,,,,,,,,,,,,,,
Cyprus,FC Leibadia,0x000B3026,Tríti Katigoría,,,,,,,,,,,,,,
Cyprus,Doxa Palaiometoxou,0x000B3027,Tríti Katigoría,,,,,,,,,,,,,,
Cyprus,Anorthosis Mouttagiakas FC,0x000B3028,Tríti Katigoría,,,,,,,,,,,,,,
Spain,C.D. Valladares,0x002D335E,Tercera División RFEF Grupo I,,,,,,,,,,,,,,
Spain,S.D. San Viator,0x002D335F,Tercera División Grupo IV,,,,,,,,,,,,,,
Spain,C.E. Atlètic Lleida,0x002D3360,Tercera División Grupo V,,,,,,,,,,,,,,
Angola,Luanda City FC,0x0062306B,Girabola,,,,,,,,,,,,,,
Angola,Carmona SC do Uige,0x0062306A,Girabola,,,,,,,,,,,,,,
Angola, Uniao de Malanje,0x00623069,SPARE,,,,,,,,,,,,,,
Angola,Guicoss FC,0x0062306C,SPARE,,,,,,,,,,,,,,
Spain,U.D. Vall de Uxó,0x002D3361,Tercera División Grupo VI,,,,,,,,,,,,,,
Spain,A.D. Cala Pozuelo,0x002D3362,Tercera División Grupo VII,,,,,,,,,,,,,,
Spain,C.D. Atlético Mansillés,0x002D3363,Tercera División Grupo VIII,,,,,,,,,,,,,,
Spain,C.D. Mojados ,0x002D3364,Tercera División Grupo VIII,,,,,,,,,,,,,,
Canada,Burnaby FC,0x004630BA,League 1 British Columbia,,,,,,,,,,,,,,
Spain,F.C. Marbellí,0x002D3366,Tercera División Grupo IX,,,,,,,,,,,,,,
The United States Virgin Islands,Massey Soccer Academy,0x00603003,USVI Premier League,,,,,,,,,,,,,,
Spain,Club Atlético Central,0x002D3367,Tercera División Grupo X,,,,,,,,,,,,,,
Spain,C.D. Migjorn,0x002D3368,Tercera División Grupo XI,,,,,,,,,,,,,,
Spain,U.E. Porreres,0x002D3369,Tercera División Grupo XI,,,,,,,,,,,,,,
Spain,Deportivo Maritimo,0x002D336A,Tercera División Grupo XIII,,,,,,,,,,,,,,
Czechia,TJ Přeštice,0x000C3124,Česká Divize A,,,,,,,,,,,,,,
Spain,C.D. Extremadura 1924,0x002D336B,Tercera División Grupo XIV,,,,,,,,,,,,,,
Spain,E.F. Puebla de la Calzada,0x002D336C,Tercera División Grupo XIV,,,,,,,,,,,,,,
Canada,Callies United,0x004630BB,League 1 Alberta,,,,,,,,,,,,,,
The United States of America,Georgia FC (NEU),0x005F3517,National Independent Soccer Association,,,,,,,,,,,,,,
The United States of America,Irvine Zeta FC,0x005F3518,National Independent Soccer Association,,,,,,,,,,,,,,
The United States of America,Arizona Monsoon FC,0x005F3519,National Independent Soccer Association,,,,,,,,,,,,,,
Czechia,FC Tempo Prague,0x000C3126,Česká Divize B,,,,,,,,,,,,,,
Spain,P.D. Mijas Las Lagunas,0x002D336D,Tercera División Grupo IX,,,,,,,,,,,,,,
Czechia,FK Horní Ředice,0x000C3128,Česká Divize C,,,,,,,,,,,,,,
Czechia,FK Slovan Hrádek nad Nisou 1910,0x000C3129,Česká Divize C,,,,,,,,,,,,,,
Spain,C.D. Rotxapea,0x002D336E,Tercera División Grupo XV,,,,,,,,,,,,,,
Canada, Calgary Blizzard,0x004630BC,League 1 Alberta,,,,,,,,,,,,,,
The United States of America,Spokane Velocity FC,0x005F351A,United Soccer League One,,,,,,,,,,,,,,
Czechia,SK Fotbalová škola Třebíč,0x000C312A,Moravskoslezská Divize D,,,,,,,,,,,,,,
Canada,Edmonton BTB SC,0x004630BD,League 1 Alberta,,,,,,,,,,,,,,
Spain,C.D. Noblejas,0x002D336F,Tercera División Grupo XVIII,,,,,,,,,,,,,,
The United States of America,Carolina Core FC,0x005F351B,Major League Soccer Next Pro Eastern Conference,,,,,,,,,"Länderdatei nicht gefunden, benötigt: 124",,,,,
Czechia,FC Kvasice,0x000C312B,Moravskoslezská Divize E,,,,,,,,,,,,,,
The United States of America,Rhode Island FC,0x005F351C,United Soccer League Eastern Conference,,,,,,,,,,,,,,
Czechia,TJ Petřvald na Moravě,0x000C312C,Moravskoslezská Divize F,,,,,,,,,,,,,,
Papua New Guinea,Admiralty FC,0x00C73033,Premier Soccer League,,,,,,,,,,,,,,
Mexico,Agricultores F.C. Guasave,0x0053347E,Liga Premier de México Serie A Grupo I,,,,,,,,,,,,,,
Mexico,Tapachula Soconusco F.C,0x0053347F,Liga Premier de México Serie A Grupo III,,,,,,,,,,,,,,
Mexico,Bucaneros de Zitácuaro FC,0x00533480,SPARE,,,,,,,,,,,,,,
Romania,FC Șoimii Gura Humorului,0x00274069,Liga III Seria I,,,,,,,,,,,,,,
Switzerland,FC Bosna Neuchâtel,0x002F3223,2. Liga Interregional Gruppe 2,,,,,,,,,,,,,,
American Samoa,Tupulaga Fagasa,0x00C2300F,FFAS National League,,,,,,,,,,,,,,
Mongolia,Hunters FC,0x00AF3036,Khürkhree Lig,,,,,,,,,,,,,,
Samoa,Brothers United FC,0x00C83013,Samoan National League,,,,,,,,,,,,,,
Botswana,Chadibe North FC,0x0064301F,Premier League,,,,,,,,,,,,,,
Luxembourg, FC Tricolore Gasperich,0x001F3047,SPARE,,,,,,,,,,,,,,
Burundi,Académie Deira FC,0x00663028,Primus Ligue,,,,,,,,,,,,,,
Burundi, Royal Vision 2026,0x00663029,Primus Ligue,,,,,,,,,,,,,,
Burundi, Ngozi City FC,0x0066302A,Primus Ligue,,,,,,,,,,,,,,
Romania,ACS FC Dinamo Bucuresti,0x0027406A,Liga III Seria V,,,,,,,,,,,,,,
The Democratic Republic of the Congo,FC Tanganyika,0x006E3052,Vodacom Ligue 1,,,,,,,,,,,,,,
The Democratic Republic of the Congo, AF Anges Verts,0x006E3053,Vodacom Ligue 1,,,,,,,,,,,,,,
