Country,League,LeagueLevel
Unavailable,Unavailable,257
Afghanistan,Afghanistan Champions League,1
Afghanistan,SPARE,255
Afghanistan,NON-LEAGUE,256
Afghanistan,Unavailable,257
Albania,Kategoria Superiore,1
Albania,Kategoria e Parë,2
Albania,SPARE,255
Albania,NON-LEAGUE,256
Albania,Unavailable,257
Algeria,Ligue Professionnelle 1 Mobilis,1
Algeria,Ligue Professionnelle 2 Centre West,2
Algeria,Ligue Professionnelle 2 Centre East,3
Algeria,Serie C Girone B,4
Algeria,SPARE,255
Algeria,NON-LEAGUE,256
Algeria,Unavailable,257
American Samoa,FFAS National League,1
American Samoa,SPARE,255
American Samoa,NON-LEAGUE,256
American Samoa,Unavailable,257
Andorra,Lliga Multisegur Assegurances,1
Andorra,Lliga Biosphere,2
Andorra,SPARE,255
Andorra,NON-LEAGUE,256
Andorra,Unavailable,257
Angola,Girabola,1
Angola,SPARE,255
Angola,NON-LEAGUE,256
Angola,Unavailable,257
Anguilla,Unavailable,257
Antigua and Barbuda,Antigua Premier League,1
Antigua and Barbuda,SPARE,255
Antigua and Barbuda,NON-LEAGUE,256
Antigua and Barbuda,Unavailable,257
Argentina,Liga Profesional de Futbol​,1
Argentina,Primera Nacional Gr. A,2
Argentina,Primera Nacional Gr. B,3
Argentina,Primera B Metropolitana,4
Argentina,Torneo Federal A Zone A,5
Argentina,Torneo Federal A Zone B,6
Argentina,Torneo Federal A Zone C,7
Argentina,Torneo Federal A Zone D,8
Argentina,SPARE,255
Argentina,NON-LEAGUE,256
Argentina,Unavailable,257
Armenia,Bardzraguyn Khumb,1
Armenia,Arrajin Khumb,2
Armenia,SPARE,255
Armenia,NON-LEAGUE,256
Armenia,Unavailable,257
Aruba,Division di Honor,1
Aruba,SPARE,255
Aruba,NON-LEAGUE,256
Aruba,Unavailable,257
Australia,Isuzu UTE A-League,1
Australia,National Premier Leagues - Australian Capital Territory,2
Australia,National Premier Leagues - Northern New South Wales,3
Australia,National Premier Leagues - New South Wales,4
Australia,National Premier Leagues - Queensland,5
Australia,National Premier Leagues - South Australia,6
Australia,National Premier Leagues - Tasmania,7
Australia,National Premier Leagues - Victoria,8
Australia,National Premier Leagues - Western Australia,9
Australia,SPARE,255
Australia,NON-LEAGUE,256
Australia,Unavailable,257
Austria,ADMIRAL Bundesliga,1
Austria,ADMIRAL 2. Liga,2
Austria,Regionalliga Mitte,3
Austria,Regionalliga Ost,4
Austria,Regionalliga West,5
Austria,Wiener Stadtliga,6
Austria,Landesliga Niederösterreich,7
Austria,Radio Oberösterreichische-Landesliga,8
Austria,Landesliga Burgenland,9
Austria,Landesliga Steiermark,10
Austria,Salzburger Liga,11
Austria,Regionalliga Tirol,12
Austria,Eliteliga Vorarlberg,13
Austria,Landesliga Kärnten,14
Austria,2. Landesliga Wien,15
Austria,2. Landesliga Ost NÖ,16
Austria,2. Landesliga West NÖ,17
Austria,2. Landesliga West OÖ,18
Austria,II. Liga Nord Burgenland,19
Austria,II. Liga Mitte Burgenland,20
Austria,II. Liga Süd Burgenland,21
